Source,Section,Title,Year,Venue,DOI,Citations,URL,SCI_E
SemanticScholar,S1_CareerFair,Navigating the Engineering Career Fair with Speed Dating Style,2015,IEEE potentials,10.1109/MPOT.2015.2397574,1,https://www.semanticscholar.org/paper/075fe769b983250839841f1259fd3931f3a07580,True
CrossRef,S1_CareerFair,Student Interaction,2024,Springer Texts in Education,10.1007/978-3-031-50161-6_28,,https://doi.org/10.1007/978-3-031-50161-6_28,True
OpenAlex,S2_StudentMatching,A Survey on Bias and Fairness in Machine Learning,2021,ACM Computing Surveys,https://doi.org/10.1145/3457607,317,https://openalex.org/W2969896603,True
CrossRef,S2_StudentMatching,Fair Reciprocal Recommendation in Matching Markets,2024,18th ACM Conference on Recommender Systems,10.1145/3640457.3688130,,https://doi.org/10.1145/3640457.3688130,True
SemanticScholar,S3_ML_CareerEdu,Career Prediction Model Using Big Data Analytics,2026,IEEE International Conference on Circuits and Systems for Communications,10.1109/ICCSC67078.2026.11468641,0,https://www.semanticscholar.org/paper/a2d02bce2f1a7e19350ec22ee928958574ac938c,True
SemanticScholar,S3_ML_CareerEdu,Multiclass Prediction Model for Student Grade Prediction Using Machine Learning,2023,IEEE Access,10.1109/ACCESS.2021.3093563,143,https://www.semanticscholar.org/paper/c43ef40f7656bc5bb80cad82c6dc27cbba9d6846,True
OpenAlex,S3_ML_CareerEdu,Artificial Intelligence in Education: A Review,2020,IEEE Access,https://doi.org/10.1109/access.2020.2988510,3392,https://openalex.org/W3017131514,True
OpenAlex,S3_ML_CareerEdu,Analytic Study for Predictor Development on Student Participation in Generic Competence Development Activities Based on Academic Performance,2023,IEEE Transactions on Learning Technologies,https://doi.org/10.1109/tlt.2023.3291310,19,https://openalex.org/W4383112416,True
OpenAlex,S3_ML_CareerEdu,"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",2020,IEEE Access,https://doi.org/10.1109/access.2020.2970143,1678,https://openalex.org/W3003667836,True
SemanticScholar,S4_BipartiteGraph,Hierarchical Bipartite Graph Convolutional Network for Recommendation,2024,IEEE Computational Intelligence Magazine,10.1109/MCI.2024.3363973,3,https://www.semanticscholar.org/paper/b1d3271836c484290b62c80853c7813357b85dcd,True
SemanticScholar,S4_BipartiteGraph,Temporal Knowledge Graph Incremental Evolution Model for Sequential Recommendation,2025,IEEE International Joint Conference on Neural Network,10.1109/IJCNN64981.2025.11228451,0,https://www.semanticscholar.org/paper/f210516792152176f3154ae38c0d6f2369210823,True
SemanticScholar,S4_BipartiteGraph,Spatio-Temporal Interaction Aware and Trajectory Distribution Aware Graph Convolution Network for Pedestrian Multimodal Trajectory Prediction,2023,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2022.3229733,35,https://www.semanticscholar.org/paper/6e11ed01056bf0c171530d62255cb3d5b691ec54,True
SemanticScholar,S4_BipartiteGraph,LightGCN: Simplifying and Powering Graph Convolution Network for Recommendation,2020,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,10.1145/3397271.3401063,5186,https://www.semanticscholar.org/paper/3024f58826a5bce3378af94f677e8fb90cbb49e0,True
SemanticScholar,S4_BipartiteGraph,BGEM: Bipartite Graph-based Extension Modeling in Graph Neural Network for QoS Prediction,2025,IEEE International Joint Conference on Neural Network,10.1109/IJCNN64981.2025.11228938,0,https://www.semanticscholar.org/paper/c98f0fe21e0c82d19129dde77662419289aae0c9,True
SemanticScholar,S4_BipartiteGraph,SelfGNN: Self-Supervised Graph Neural Networks for Sequential Recommendation,2024,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,10.1145/3626772.3657716,64,https://www.semanticscholar.org/paper/795a8770ca9118807588ba657290e4d4fc92b071,True
SemanticScholar,S4_BipartiteGraph,GSAN: Graph Self-Attention Network for Learning Spatial–Temporal Interaction Representation in Autonomous Driving,2021,IEEE Internet of Things Journal,10.1109/jiot.2021.3093523,42,https://www.semanticscholar.org/paper/ebdb9c9191ed6f0ba8d0f7de439d5568f74de9c4,True
SemanticScholar,S4_BipartiteGraph,TKMBR: Temporal Knowledge Graph-based Multi-Behavior Recommendation,2024,IEEE International Joint Conference on Neural Network,10.1109/IJCNN60899.2024.10650423,5,https://www.semanticscholar.org/paper/5b05dbd8a9d2fef17338b545046b9b440f35e5b5,True
SemanticScholar,S4_BipartiteGraph,DualGNN: Dual Graph Neural Network for Multimedia Recommendation,2023,IEEE transactions on multimedia,10.1109/TMM.2021.3138298,248,https://www.semanticscholar.org/paper/b56916d0ab48b8a0cd58218641463f10c58ff65a,True
SemanticScholar,S4_BipartiteGraph,Revisiting Graph Projections for Effective Complementary Product Recommendation,2025,IEEE International Joint Conference on Neural Network,10.1109/IJCNN64981.2025.11228278,0,https://www.semanticscholar.org/paper/9a68223fbe0d89f3e9c739800f86e7b40d9c8456,True
SemanticScholar,S4_BipartiteGraph,BDARec: Balancing Diversity and Accuracy of Recommendation Model with Graph Neural Networks,2025,IEEE International Joint Conference on Neural Network,10.1109/IJCNN64981.2025.11227433,0,https://www.semanticscholar.org/paper/6d25b0fd40a611b7b711e94f231c89d2b38ecc99,True
